ECOREGION_CODE,ECO_NAME,Shrubland_CF,Protected_shrubland_CF,Grassland_CF,Protected_grassland_CF,Tundra_CF,Forest_CF,Protected_forest_CF,Pasture_CF,Protected_pasture_CF,Irrigated_crop_CF,Rainfed_crop_CF,Rockicedesert_CF,Urban_CF
NA0525,Queen Charlotte Islands,0,0,0,0,0,7.16E-11,0,1.36E-10,0,1.34E-10,1.07E-10,0,1.65E-10
NA0526,Sierra Juarez and San Pedro Martir pine-oak forests,0,0,0,0,0,5.33E-10,0,9.22E-10,0,9.06E-10,7.38E-10,0,1.10E-09
NA0527,Sierra Nevada forests,0,0,0,0,0,1.62E-10,0,2.36E-10,0,2.32E-10,2.01E-10,0,2.71E-10
NA0528,South Central Rockies forests,0,0,0,0,0,2.60E-11,0,4.47E-11,0,4.37E-11,3.56E-11,0,5.38E-11
NA0529,Southeastern conifer forests,0,0,0,0,0,6.16E-11,0,7.54E-11,0,7.32E-11,6.67E-11,0,8.17E-11
NA0530,Wasatch and Uinta montane forests,0,0,0,0,0,5.50E-11,0,9.77E-11,0,9.57E-11,7.74E-11,0,1.18E-10
NA0601,Alaska Peninsula montane taiga,0,0,0,0,0,7.78E-12,0,1.18E-11,0,1.15E-11,9.67E-12,0,1.38E-11
NA0602,Central Canadian Shield forests,0,0,0,0,0,3.31E-12,0,4.39E-12,0,4.24E-12,3.71E-12,0,4.94E-12
NA0603,Cook Inlet taiga,0,0,0,0,0,1.26E-11,0,2.29E-11,0,2.25E-11,1.81E-11,0,2.78E-11
NA0604,Copper Plateau taiga,0,0,0,0,0,1.11E-11,0,2.01E-11,0,1.97E-11,1.59E-11,0,2.44E-11
NA0605,Eastern Canadian forests,0,0,0,0,0,2.88E-12,0,3.79E-12,0,3.64E-12,3.19E-12,0,4.25E-12
NA0606,Eastern Canadian Shield taiga,0,0,0,0,0,1.50E-12,0,1.99E-12,0,1.95E-12,1.71E-12,0,2.25E-12
NA0607,Interior Alaska-Yukon lowland taiga,0,0,0,0,0,2.65E-12,0,3.29E-12,0,3.21E-12,2.89E-12,0,3.65E-12
NA0608,Mid-Continental Canadian forests,0,0,0,0,0,3.26E-12,0,3.86E-12,0,3.70E-12,3.34E-12,0,4.25E-12
NA0609,Midwestern Canadian Shield forests,0,0,0,0,0,2.63E-12,0,3.21E-12,0,3.09E-12,2.78E-12,0,3.54E-12
NA0610,Muskwa-Slave Lake forests,0,0,0,0,0,3.27E-12,0,4.28E-12,0,4.15E-12,3.66E-12,0,4.82E-12
NA0611,Newfoundland Highland forests,0,0,0,0,0,1.24E-11,0,2.30E-11,0,2.25E-11,1.81E-11,0,2.78E-11
NA0612,Northern Canadian Shield taiga,0,0,0,0,0,2.77E-12,0,3.24E-12,0,3.16E-12,2.90E-12,0,3.52E-12
NA0613,Northern Cordillera forests,0,0,0,0,0,3.30E-12,0,4.42E-12,0,4.31E-12,3.77E-12,0,5.02E-12
NA0614,Northwest Territories taiga,0,0,0,0,0,1.94E-12,0,2.56E-12,0,2.50E-12,2.20E-12,0,2.89E-12
NA0615,South Avalon-Burin oceanic barrens,0,0,0,0,0,5.44E-11,0,1.03E-10,0,1.02E-10,8.12E-11,0,1.26E-10
NA0616,Southern Hudson Bay taiga,0,0,0,0,0,2.66E-12,0,3.82E-12,0,3.74E-12,3.21E-12,0,4.41E-12
NA0617,Yukon Interior dry forests,0,0,0,0,0,6.40E-12,0,1.06E-11,0,1.04E-11,8.55E-12,0,1.26E-11
NA0701,Western Gulf coastal grasslands,0,0,0,0,0,1.06E-10,0,1.34E-10,0,1.33E-10,1.23E-10,0,1.41E-10
NA0801,California Central Valley grasslands,0,0,0,0,0,6.87E-10,0,1.05E-09,0,1.05E-09,9.16E-10,0,1.15E-09
NA0802,Canadian Aspen forests and parklands,0,0,0,0,0,7.97E-12,0,1.04E-11,0,1.03E-11,9.42E-12,0,1.10E-11
NA0803,Central and Southern mixed grasslands,0,0,0,0,0,5.92E-11,0,6.80E-11,0,6.73E-11,6.37E-11,0,7.03E-11
NA0804,Central forest-grasslands transition,0,0,0,0,0,3.66E-11,0,4.27E-11,0,4.23E-11,4.00E-11,0,4.43E-11
NA0805,Central tall grasslands,0,0,0,0,0,2.64E-11,0,3.39E-11,0,3.35E-11,3.07E-11,0,3.58E-11
NA0806,Edwards Plateau savanna,0,0,0,0,0,2.95E-10,0,3.32E-10,0,3.30E-10,3.18E-10,0,3.41E-10
NA0807,Flint Hills tall grasslands,0,0,0,0,0,1.06E-10,0,1.47E-10,0,1.46E-10,1.30E-10,0,1.58E-10
NA0808,Montana Valley and Foothill grasslands,0,0,0,0,0,5.24E-11,0,7.80E-11,0,7.74E-11,6.83E-11,0,8.47E-11
NA0809,Nebraska Sand Hills mixed grasslands,0,0,0,0,0,6.42E-11,0,8.35E-11,0,8.26E-11,7.53E-11,0,8.86E-11
NA0810,Northern mixed grasslands,0,0,0,0,0,2.61E-11,0,3.36E-11,0,3.33E-11,3.05E-11,0,3.55E-11
NA0811,Northern short grasslands,0,0,0,0,0,2.22E-11,0,2.50E-11,0,2.48E-11,2.37E-11,0,2.58E-11
NA0812,Northern tall grasslands,0,0,0,0,0,2.82E-11,0,4.02E-11,0,3.98E-11,3.55E-11,0,4.33E-11
NA0813,Palouse grasslands,0,0,0,0,0,8.65E-11,0,1.32E-10,0,1.31E-10,1.15E-10,0,1.44E-10
NA0814,Texas blackland prairies,0,0,0,0,0,6.74E-10,0,7.06E-10,0,7.04E-10,6.92E-10,0,7.14E-10
NA0815,Western short grasslands,0,0,0,0,0,3.32E-11,0,3.90E-11,0,3.88E-11,3.66E-11,0,4.05E-11
NA1101,Alaska-St. Elias Range tundra,0,0,0,0,0,4.05E-12,0,5.82E-12,0,5.69E-12,4.88E-12,0,6.73E-12
NA1102,Aleutian Islands tundra,0,0,0,0,0,1.23E-10,0,1.82E-10,0,1.78E-10,1.53E-10,0,2.08E-10
NA1103,Arctic coastal tundra,0,0,0,0,0,3.71E-12,0,5.32E-12,0,5.21E-12,4.48E-12,0,6.14E-12
NA1104,Arctic foothills tundra,0,0,0,0,0,3.80E-12,0,4.98E-12,0,4.83E-12,4.26E-12,0,5.62E-12
NA1105,Baffin coastal tundra,0,0,0,0,0,5.15E-12,0,9.29E-12,0,9.08E-12,7.30E-12,0,1.13E-11
NA1106,Beringia lowland tundra,0,0,0,0,0,7.21E-12,0,8.60E-12,0,8.28E-12,7.51E-12,0,9.40E-12
